NM_BAIRRO,setores,iqu_mediano,total_equipamentos,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca
"Condomínios Portal das Torres, Cidade Campo e Ana Rosa",4,0.87,14,1,0,13,0,0,0
Parque Residencial Tuiuti,6,0.78,14,0,0,14,0,0,0
Jardim Universo,4,0.78,9,1,0,8,0,0,0
Conjunto Residencial Hermann Moraes de Barros,4,0.78,10,0,2,8,0,0,0
Conjunto Residencial João de Barro - Cidade Alta II,1,0.68,2,0,0,2,0,0,0
Conjunto Habitacional Requião I,7,0.68,24,0,2,22,0,0,0
Jardim Monte Carlo,3,0.68,6,1,0,5,0,0,0
Loteamento Sumaré,7,0.68,13,0,2,10,1,0,0
Jardim Pinheiros II,1,0.68,2,0,0,2,0,0,0
Ebenezer,2,0.66,4,0,0,4,0,0,0
Jardim Tabaetê,2,0.55,3,0,0,3,0,0,0
Jardim Império do Sol,2,0.55,3,0,0,3,0,0,0
Jardim Novo Paulista,1,0.42,1,0,0,1,0,0,0
Cidade Monções e Subdivisões do L. 245A (Jardim Bela Vista),5,0.42,5,0,0,5,0,0,0
Conjunto Residencial João de Barro Porto Seguro II,1,0.42,1,0,0,1,0,0,0
Parque Residencial Quebec,3,0.42,7,1,2,3,1,0,0
Jardim Tóquio,3,0.42,3,0,0,2,1,0,0
Jardim Santa Clara,1,0.42,1,0,0,1,0,0,0
"Jardim Paulista (I, II, III e IV)",12,0.42,19,0,2,16,1,0,0
Jardim D' Monet,1,0.0,0,0,0,0,0,0,0
Jardim Monte Sião e Sinai,1,0.0,0,0,0,0,0,0,0
Jardim Licce,1,0.0,0,0,0,0,0,0,0
Vila Esperança I,2,0.0,0,0,0,0,0,0,0
